Time,Temperature (�F),,,Dew Point (�F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Apr,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,83,67.7,52,57,44.9,39,75,47.4,24,21,11.4,0,29.2,29.1,29,0
2,91,73.6,63,61,50,29,84,52.4,12,14,5.8,0,29.2,29.1,29.1,0
3,86,70.2,60,62,53.9,46,78,58.2,34,18,7,0,29.1,29.1,28.9,0
4,82,73.1,66,67,64.8,61,90,76.1,56,15,10.6,7,29,28.9,28.8,0
5,94,78.7,71,70,63.1,50,90,64.2,23,15,8.9,3,28.9,28.8,28.7,0
6,81,71,63,60,42,23,73,40.8,17,25,11.9,0,29.2,29,28.8,0
7,78,65.8,52,23,17.9,15,30,17.1,10,17,9.9,0,29.4,29.3,29.2,0
8,81,62.7,45,27,21.3,14,49,24.6,9,10,5,0,29.4,29.4,29.2,0
9,87,68.4,48,45,37.1,26,56,34.4,16,22,10.9,0,29.3,29.2,29,0
10,91,73,62,67,60,48,93,65.8,33,23,14.2,7,29.1,28.9,28.8,0
11,80,73.6,70,68,66.1,64,87,77.4,64,17,12.2,7,29,28.9,28.9,0.19
12,93,77.9,71,71,67.8,60,93,74.3,34,23,14.4,5,29,28.9,28.7,0.01
13,97,82.5,71,70,53.8,26,85,47.3,13,22,11.6,5,29,28.9,28.8,0
14,85,72.1,60,46,40.3,33,55,33.3,19,18,12.2,6,29.2,29.1,29.1,0
15,83,69.8,61,70,61.9,38,97,77.7,40,14,6.8,0,29.1,29.1,28.9,0
16,88,76.1,70,70,68.3,66,93,77.8,53,12,7.3,0,29.1,29,29,0
17,85,76.3,72,71,68.9,67,87,78.8,59,9,4.6,0,29.1,29,29,0
18,86,73.3,67,68,57.5,49,90,61.1,30,17,9.8,3,29.3,29.2,29.1,0
19,69,65.5,59,67,60,50,97,83.1,65,17,11.5,5,29.3,29.2,29.1,0
20,82,74.3,69,68,66.9,66,93,78.7,60,18,13.4,7,29.1,29.1,29,0.07
21,80,74.7,71,72,68.6,64,91,81.5,60,18,12,7,29.3,29.2,29.1,0
22,88,76.6,71,69,65.6,60,91,71.2,40,24,17.1,10,29.3,29.2,29.1,0.02
23,88,77,71,66,64.6,62,84,67.2,44,25,17.9,13,29.1,29,28.9,0
24,87,76.7,69,68,65.2,63,90,69.2,46,22,14.7,3,29,29,28.9,0
25,76,68,62,69,63.4,57,93,85.2,71,17,10,0,29.3,29.2,29,0
26,73,63.8,56,59,55.9,53,90,76.2,59,12,7.5,0,29.5,29.4,29.3,0.81
27,79,70.7,61,64,61.3,59,93,73.4,58,15,7.7,0,29.4,29.3,29.2,0.11
28,85,74.9,69,66,64.4,62,87,71.6,46,22,14.4,10,29.2,29.1,29,0
29,85,75.4,70,68,66.8,66,93,75.4,53,22,14.2,9,29,28.9,28.9,0
30,86,76.3,71,72,69.3,67,96,79.9,57,17,8.1,0,29.1,29,28.9,0.01
