Time 2000,Temperature (�F),,,Dew Point (�F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Apr,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
(2000) 1,71,66.1,61,69,64.5,59,100,94.5,81,16,8.1,5,29.1,29,28.9,0
2,61,57.7,55,59,55.3,53,100,92.1,83,13,8,0,29.1,29,29,0
3,73,60.7,54,55,48.4,37,100,68.3,36,16,9.8,0,29.4,29.2,29,0
4,70,57.3,42,39,35.1,29,76,47.3,26,10,5.6,0,29.5,29.4,29.3,0
5,78,65,50,52,44.8,38,72,50.2,31,17,11.4,3,29.3,29.2,29.1,0
6,83,66.4,54,62,53.5,28,100,67,33,17,9.2,0,29.1,29,28.9,0
7,87,73.8,65,65,61.7,55,90,68.5,41,21,10.6,7,29.1,29,28.9,0
8,71,62.5,53,34,24.7,0,43,26.1,14,31,17.4,7,29.5,29.4,29.2,0
9,76,60.3,45,53,30.4,0,72,50.5,35,21,11.4,3,29.4,29.3,29.2,0
10,74,67.3,60,64,60.5,54,86,78.9,68,16,10.9,7,29.2,29.1,29,0
11,81,72.5,68,68,65.9,64,90,80.4,60,16,10.7,6,29.2,29.1,29,0
12,70,63.1,59,66,57.8,55,94,83.3,68,20,10.4,5,29.3,29.3,29.2,0
13,76,63.7,56,57,54.8,53,97,75.2,45,10,5.9,3,29.3,29.2,29.2,0
14,76,65,59,62,59.7,55,100,84.3,60,15,8.3,5,29.2,29.1,29,0
15,80,70,62,66,62.6,60,94,78.5,58,17,11.8,6,29,29,28.9,0
16,85,74.2,66,68,65.4,63,97,76.1,48,13,6.5,0,29.2,29.1,29,0
17,82,72.8,66,66,64.7,63,97,77.3,58,13,7.1,0,29.2,29.2,29.1,0
18,80,73.1,68,69,66.9,65,93,81.3,64,15,10,5,29.2,29.1,29,0
19,88,76.6,69,69,67.2,65,93,74.8,48,18,12.6,8,29.1,28.9,28.9,0
20,86,75.2,61,70,52.8,34,94,55.9,18,20,8.6,0,29.3,29.1,29,0
21,83,67.5,53,48,45.5,41,72,47.7,26,14,5.5,0,29.3,29.2,29.1,0
22,84,70.3,53,65,52.6,45,81,55.5,31,28,12,0,29.1,28.9,28.8,0
23,97,81.3,69,67,51.6,33,90,47,11,17,9.2,3,28.8,28.7,28.6,0
24,91,76.6,65,54,50.4,42,58,41.5,25,15,8.3,0,29,28.9,28.8,0
25,85,73.7,60,56,52.4,49,80,50.5,29,17,9.1,5,29.2,29.1,29.1,0
26,88,73.8,62,60,57.4,54,88,60.6,31,17,7.8,0,29.3,29.2,29.1,0
27,89,74.6,65,66,61.4,57,93,67,34,15,10.1,5,29.2,29.1,29,0
28,85,76.2,70,67,64.3,61,87,68.4,46,14,8.7,0,29.2,29.1,29,0
29,88,76.1,69,70,67.2,66,93,75.3,48,20,10.7,0,29.1,29.1,29,0
30,84,77.2,73,70,67.8,63,84,73.3,58,20,14.5,9,29.1,29,28.9,0
(2001) 1,75,68.1,60,65,61.6,59,100,80.7,61,16,7.7,0,29.2,29.1,28.9,0
2,77,70.5,66,70,67.2,63,96,89.4,74,15,11.7,8,29,28.9,28.8,0
3,76,72.2,69,72,69.7,68,100,91.8,82,12,6.2,0,29,29,28.9,0
4,76,72.5,71,73,71.6,70,100,96.7,84,14,7,0,29.1,29.1,29,0
5,81,73.6,70,71,69.5,67,100,87.8,64,17,11.6,5,29.2,29.1,29,0
6,79,72.8,69,70,68.4,66,97,86.4,69,23,16.8,9,29.1,29,28.9,0
7,79,71.9,66,71,68,66,100,88.1,69,18,9.8,0,29.1,29,29,0
8,83,74.4,69,70,68.2,65,96,82,60,17,13.1,9,29.1,29,29,0
9,82,74,69,70,68.8,66,100,85.1,65,21,13.6,6,29.1,29,28.9,0
10,83,74.7,71,70,69.3,67,94,84,63,23,16.3,10,29,28.9,28.7,0
11,79,69.3,57,70,55.5,45,93,65.5,32,23,10,3,29,28.9,28.8,0
12,80,70.1,61,72,65.3,52,97,84.9,65,7,3.5,0,29.1,29,29,0
13,79,71.8,66,74,70.5,65,100,95.2,84,10,7.7,0,29.2,29.1,29.1,0
14,73,73,73,70,70,70,90,89,88,23,16.5,10,29,29,29,0
15,87,77.7,71,73,70.8,69,96,80.1,59,9,6.2,0,29.1,29,29,0
16,84,75.5,70,71,67.6,64,94,77.5,55,12,7.1,3,29.2,29.1,29.1,0
17,73,60.8,49,68,51.3,38,90,71.9,46,22,14,6,29.5,29.4,29.2,0
18,67,59.1,51,52,44.5,40,74,59.2,41,16,9.7,6,29.5,29.4,29.3,0
19,74,66.6,60,67,60.6,52,87,81.1,72,20,12.4,7,29.3,29.2,29.1,0
20,83,73.8,69,70,67.9,66,94,82.5,60,24,16.8,9,29.2,29.1,29,0
21,83,73.7,68,70,66.3,59,96,78.8,56,25,16.2,9,29.2,29.1,29.1,0
22,82,75.6,70,71,67.9,65,93,78.1,56,28,18.5,12,29.1,29,29,0
23,73,65.8,57,70,63.8,50,100,93.4,72,20,9.1,0,29.3,29.2,29,0
24,75,64.7,56,55,47.7,44,81,56.2,34,22,12.6,5,29.4,29.3,29.3,0
25,75,62.6,48,52,45.8,42,86,57.7,33,12,6.5,0,29.4,29.4,29.3,0
26,74,62.9,50,53,49.8,47,93,65.4,41,15,6.9,0,29.4,29.3,29.3,0
27,77,65.6,54,58,52.7,50,93,66,39,14,7.1,0,29.4,29.3,29.2,0
28,76,65.5,53,60,53.7,51,96,68.2,45,9,5.3,0,29.3,29.3,29.2,0
29,78,67.5,57,61,57,55,100,71.8,45,12,5.7,0,29.4,29.3,29.2,0
30,79,70.6,64,65,62.5,57,97,77,56,13,8,3,29.3,29.2,29.1,0
 (2002) 1,79,65,50,60,54.5,49,100,72,44,13,7.3,0,29.2,29.1,29,0
2,84,70.4,62,61,58.8,49,94,69.6,41,14,8.9,0,29.1,29,28.9,0
3,70,60.4,56,47,41.1,38,60,49.6,35,25,13.8,7,29.4,29.3,29.1,0
4,64,58.8,55,43,39.8,34,62,49.8,39,12,8.8,6,29.4,29.4,29.3,0
5,68,62.1,56,50,44.6,39,63,52.8,48,14,9.5,7,29.4,29.4,29.3,0
6,62,57.8,0,62,53.3,0,100,84.6,0,21,12.2,8,29.3,29.2,29.1,0
7,79,66.8,59,72,64.7,57,100,93.2,74,33,14.8,0,29,28.9,28.7,0
8,85,66.4,57,64,58.4,49,100,81.3,30,18,6.9,0,29.1,28.9,28.7,0
9,78,68.3,59,57,54.8,52,84,63.5,45,16,11.2,6,29.3,29.2,29.1,0
10,76,65.4,55,61,57.6,53,97,77.8,48,13,3.6,0,29.4,29.3,29.2,0
11,80,67.7,59,63,60.6,58,100,79.9,54,14,7.2,0,29.3,29.2,29.1,0
12,83,71.8,63,68,65.4,62,100,81.8,58,18,9.7,6,29.2,29.1,29,0
13,83,73,66,66,64.8,63,97,77.1,54,16,10.3,3,29.2,29.1,29,0
14,80,70.5,63,67,63.6,60,100,80.5,52,16,8,0,29.2,29.1,29,0
15,83,74.4,69,69,66.8,61,93,78.1,47,20,13.6,7,29.1,29,28.9,0
16,87,73.1,63,73,68.9,61,100,87.8,57,31,13.3,5,29.1,29,28.9,0
17,84,75,67,72,70,65,100,85.5,63,20,11.8,3,29.2,29.1,29.1,0
18,84,75.2,70,72,69.5,66,100,83.5,60,20,12.6,7,29.2,29.1,29,0
19,82,74.2,70,70,68.7,67,97,84,62,20,12.8,8,29.2,29.1,29,0
20,85,75.3,70,70,68.8,67,100,81.5,57,21,14.7,9,29.1,29,28.9,0
21,86,76.4,70,71,69.4,68,97,79.9,58,16,9.2,5,29.1,29,28.9,0
22,84,76.1,71,71,69.1,66,96,80.1,56,15,8.7,3,29.2,29.1,29.1,0
23,85,75.5,68,70,67.5,63,100,78.4,49,15,9.3,5,29.2,29.1,29,0
24,87,77,70,72,69.7,67,93,79.1,61,14,9.2,6,29.2,29.1,29,0
25,83,75.9,73,72,67.7,63,94,76.3,56,15,9.7,6,29.3,29.2,29.1,0
26,85,76,71,71,68.5,66,96,78.9,55,17,11.9,5,29.2,29.1,28.9,0
27,91,78.7,72,71,69.6,68,91,75,50,21,14.5,9,29,28.9,28.9,0
28,90,79,71,73,71,69,96,78.1,55,13,8.8,0,29.1,29,29,0
29,91,78.6,71,74,71.1,65,100,79.3,53,16,8.5,3,29.1,29.1,28.9,0
30,89,78,69,73,68,66,93,73.2,48,17,11,5,29.1,28.9,28.8,0
(2003) 1,77,63.9,50,55,41.7,0,83,53.5,22,21,13.4,3,29.4,29.3,29.2,0
2,78,65.9,53,63,58.2,53,100,77.8,52,23,13.8,3,29.3,29.2,29.1,0
3,81,71.1,66,65,63.9,63,94,79.3,54,16,13.5,9,29.1,29,28.9,0
4,83,71.9,66,67,64.9,64,100,79.9,53,14,8.7,5,29,28.9,28.8,0
5,83,72,66,70,66.6,64,100,84.9,53,16,9.6,3,29.1,28.9,28.9,0
6,85,74.1,70,71,68.8,65,100,85.2,51,13,6.5,0,28.9,28.9,28.8,0
7,83,72.8,66,70,67,54,100,83.8,54,20,5.5,0,29.1,29,28.9,0
8,69,61.5,50,47,31.5,0,48,35.3,22,26,17.5,3,29.5,29.3,29.2,0
9,75,57.3,39,35,17.3,0,77,39.1,11,13,6,0,29.5,29.4,29.3,0
10,75,60.4,42,38,32.4,0,73,41.8,20,9,5.7,0,29.4,29.3,29.1,0
11,78,65.7,57,56,48.6,34,78,54.8,39,17,8.8,0,29.1,29.1,29,0
12,82,67.6,54,59,56.5,53,97,70.6,41,14,7.8,0,29.2,29.1,29.1,0
13,82,70.1,63,62,58.7,51,94,70,42,15,10.6,8,29.3,29.2,29.1,0
14,84,71.3,64,63,61,58,94,72.2,41,17,12.5,0,29.3,29.2,29.1,0
15,83,72.5,67,65,62.7,61,84,72.3,49,22,16.6,12,29.2,29.1,28.9,0
16,88,73.2,66,70,63.4,53,100,76.3,32,17,6.8,0,29.1,29,28.9,0
17,87,73.9,63,70,63.3,50,100,73.4,30,14,7.3,0,29.1,29,29,0
18,85,73,68,69,65.8,64,90,79,57,24,12.7,7,29,28.9,28.8,0
19,75,72.1,70,72,69,66,97,89.7,83,13,7.9,3,29.1,28.9,28.9,0
20,73,69.9,64,70,60.4,49,100,74.1,45,18,8,3,29.2,29.1,29,0
21,81,72.6,65,63,52.2,47,75,49.9,35,17,10.7,5,29.2,29.2,29.1,0
22,72,68.7,66,69,65.8,63,97,90.5,73,12,8.7,5,29.1,29,29,0
23,79,72.4,68,72,69.6,67,100,91,74,17,11.4,5,29,28.9,28.8,0
24,94,76.9,69,72,63,30,100,73.7,11,13,6.2,0,28.9,28.8,28.7,0
25,89,73.6,58,51,47.1,41,65,41.9,23,16,7.3,0,28.9,28.8,28.8,0
26,88,73.5,55,57,52.4,50,83,50.6,29,16,8.2,0,29,28.9,28.9,0
27,87,70.8,63,64,61.4,55,100,75,38,17,9.8,5,29.1,29,28.9,0
28,83,71.3,64,66,62.5,59,93,75.5,44,15,8.7,3,29.1,29,28.9,0
29,77,71.7,68,70,67.6,64,94,87.2,76,16,8.9,5,29.1,29,28.9,0
30,87,75.4,70,70,68.3,67,94,79.9,51,17,11.1,7,29,28.9,28.8,0
(2004) 1,80,67.2,49,62,53.7,43,87,63.4,47,16,8.8,0,29.1,29.1,28.9,0
2,70,64.8,61,66,61.7,57,97,89.9,70,16,6.9,0,29.2,29.1,29,0
3,78,66.8,55,62,58.9,55,100,77.9,56,10,4.1,0,29.2,28,0,0
4,72,65.2,63,64,62.1,58,100,89.5,73,21,10.3,0,29.2,29.1,29,0
5,72,66,59,63,60.9,58,100,84.3,66,18,9.1,0,29.1,29.1,29,0
6,71,64.3,59,64,60.8,57,97,88.5,66,17,8.6,0,29.1,29,28.9,0
7,83,69,55,61,57.3,54,100,70.7,39,16,9.2,3,29,28.9,28.9,0
8,76,67.2,57,59,55.5,52,83,67.2,52,9,4.5,0,29.1,29,29,0
9,80,68.8,55,64,59.4,53,93,73.8,52,14,6.5,0,29.1,29,28.9,0
10,80,65.3,54,70,61.7,50,100,88.9,58,28,11.6,0,29.1,29,28.8,0
11,54,50.8,48,52,47.2,42,96,88.1,77,18,12.4,7,29.1,29.1,29,0
12,66,55.5,48,43,39.1,34,80,57.4,32,20,10.4,3,29.2,29.1,29,0
13,69,54.8,42,43,36.8,0,86,56.3,30,16,7.2,0,29.4,29.3,29.2,0
14,74,58.7,40,50,43.5,37,89,60.9,35,15,8.6,3,29.4,29.3,29.3,0
15,77,64.6,52,61,55.1,49,94,72.9,54,17,9.9,0,29.3,29.2,29.2,0
16,76,66.7,57,63,60.3,57,100,80.7,62,17,10.5,0,29.3,29.2,29.2,0
17,83,67.4,59,64,61.8,59,100,83.9,51,22,11.5,3,29.4,29.3,29.2,0
18,80,70.1,66,65,62.3,58,94,77.7,50,20,15.9,12,29.4,29.3,29.2,0
19,81,71.2,66,65,62.4,58,93,75.3,50,20,14.4,9,29.3,29.3,29.2,0
20,79,70.4,66,66,63.4,62,90,79.1,58,20,13.9,10,29.2,29,28.9,0
21,80,72.4,69,69,65.8,64,90,80.1,64,16,10.6,6,28.9,28.9,28.8,0
22,82,73.5,70,70,67,65,94,80.9,58,17,11.4,8,29,28.9,28.8,0
23,77,72.8,70,72,69.8,68,97,89.7,78,16,10.5,3,29,28.9,28.9,0
24,73,67.6,63,70,64,63,100,88.1,73,21,8.9,0,29.1,29,28.9,0
25,70,67.4,66,66,64.7,63,100,91.5,84,10,6.8,0,29.2,29.1,29,0
26,81,69.7,64,64,60.2,54,94,74.5,39,15,9.2,3,29.4,29.3,29.2,0
27,81,69.4,56,56,51.2,47,90,56.3,32,12,7.8,0,29.4,29.3,29.2,0
28,73,67.2,57,63,57,49,88,70.4,51,18,11.2,0,29.2,29.1,29,0
29,81,68.7,61,70,64.1,59,94,85.7,62,15,7.9,0,29.1,29.1,29,0
30,83,74.7,71,72,69,68,94,82.8,65,16,10.2,6,29.1,29,28.9,0
(2005) 1,70,59.7,45,39,34.9,29,65,41.8,25,23,16,0,29.4,29.3,29.1,0
2,73,57.5,39,35,25,0,77,42.6,21,9,6.6,0,29.4,29.3,29.3,0
3,75,61,43,54,45.2,37,80,58.4,33,17,10.5,0,29.3,29.2,29.1,0
4,77,65.1,57,63,57.6,54,94,78.3,54,18,11.2,5,29.1,29.1,29,0
5,83,70.8,63,66,61.1,28,100,75.4,18,16,10.3,0,29,28.9,28.8,0
6,81,68.7,57,47,43.2,34,62,41,28,21,10.6,0,29.1,29,29,0
7,82,69.3,58,48,43.1,37,56,40.8,22,21,12.4,6,29.2,29.1,29.1,0
8,79,65.4,50,56,47.3,40,73,53.6,34,14,8.2,0,29.1,29,28.9,0
9,83,68.3,59,63,60.9,55,100,79.1,51,23,14,7,28.9,28.9,28.8,0
10,81,71.8,66,67,64.6,62,94,79.1,56,18,10.7,5,28.9,28.8,28.7,0
11,82,68.4,57,61,48.1,34,96,57.3,19,20,9.9,0,29,28.9,28.8,0
12,82,66.4,47,45,41.5,39,80,44.7,23,8,5.5,0,29.1,29,29,0
13,87,70.8,53,49,44,38,77,43.4,20,9,6,0,29.1,29.1,29,0
14,81,69.2,56,51,47.1,41,69,46.6,29,13,6.5,0,29.3,29.2,29.1,0
15,74,66.7,59,59,54.9,50,87,66.8,48,15,8.6,3,29.4,29.3,29.2,0
16,78,65.6,55,61,57,54,100,76.1,46,16,6.9,0,29.4,29.4,29.3,0
17,76,67.5,61,61,58.4,55,94,74.9,50,18,10.3,3,29.4,29.3,29.2,0
18,72,67.6,66,64,62.7,61,90,84.2,73,24,12.3,0,29.3,29.2,29.1,0
19,81,70.1,64,66,63.9,62,94,80.9,60,17,12.3,9,29.1,29.1,29,0
20,80,72,66,68,65.7,63,94,81.4,62,17,11.7,7,29.1,29,29,0
21,79,73,68,68,66.4,64,93,80.2,65,14,8.1,5,29.1,29.1,29,0
22,89,75.6,68,68,64.1,43,94,71.3,35,16,7.2,3,29.2,29.1,29,0
23,74,67.5,62,43,32.5,0,48,32.2,18,20,11.1,3,29.3,29.2,29.2,0
24,73,62.1,51,48,34.7,0,60,39.3,26,14,8,0,29.2,29.1,29,0
25,75,65.2,58,64,58.8,49,100,80.1,64,12,6.6,0,29,28.9,28.8,0
26,81,67.9,60,64,48.2,36,100,57.3,20,16,10,3,29.1,29,28.8,0
27,87,70.5,52,54,46.3,41,74,45.7,24,20,10,0,29.2,29.1,29,0
28,87,73.6,64,69,64.3,58,97,74.9,48,20,11,7,29.1,29,28.9,0
29,93,78.4,71,70,63.1,42,91,64.4,24,14,8.8,0,29,28.9,28.8,0
30,72,61,52,55,48,45,83,63.6,44,22,16.2,6,29.3,29.1,28.9,0
(2006) 1,90,76.6,71,69,65.7,61,93,71.8,38,22,14,9,29.2,29.1,29,0
2,91,78.3,71,68,64.6,60,87,65.6,38,16,8.9,5,29.1,29,29,0
3,90,76.2,66,68,63.1,54,94,66.1,40,16,7.1,0,29.3,29.2,29.1,0
4,89,75.7,67,64,55.7,52,81,51.3,32,18,9.6,0,29.3,29.2,29.1,0
5,89,75.5,66,65,61.5,56,88,64.7,32,22,14.9,8,29.1,29,28.9,0
6,88,75.3,68,67,63,59,87,67.7,39,17,10.9,3,28.9,28.8,28.7,0
7,74,73.5,73,21,10.5,0,21,17.5,14,16,11.5,7,29,29,29,0
8,79,65.7,55,44,38.3,35,54,38,23,21,11,0,29.3,29.2,29,0
9,83,68.1,50,53,44.5,38,80,47,21,20,6.3,0,29.3,29.2,29.1,0
10,85,69.8,56,58,50.2,43,93,56,23,18,9.6,0,29.2,29.1,29,0
11,83,69,59,59,56.3,52,90,66.7,35,17,10,3,29.3,29.2,29.1,0
12,84,72.3,66,64,62,57,88,71.5,40,16,10,6,29.4,29.3,29.2,0
13,86,74.4,69,65,59.6,50,87,63.7,30,16,9.9,6,29.4,29.3,29.2,0
14,90,72.8,61,63,57.1,47,90,63.5,24,20,11.3,0,29.2,29.1,29,0
15,92,76.8,68,64,60.7,52,84,61.2,26,23,15,9,29.1,28.9,28.8,0
16,94,77.7,70,69,63.8,59,84,66,32,18,9.2,3,28.9,28.9,28.8,0
17,99,81.7,72,70,65.5,54,88,63.1,23,16,8.8,0,29,28.9,28.8,0
18,99,77,68,69,66,60,96,73.8,28,23,8.8,3,28.9,28.8,28.7,0
19,96,80.3,69,68,65.4,60,93,63.8,30,21,10.6,3,29.1,28.9,28.8,0
20,82,75.6,71,72,66.8,64,93,74.7,56,20,12.3,3,29.1,28.9,28.8,0
21,87,71,63,66,61.9,54,100,76.4,32,25,8.7,0,29.2,29.1,29,0
22,89,73.5,64,67,63.6,60,96,73.7,43,18,6.4,0,29.2,29.1,29,0
23,88,76.9,71,70,66.5,62,90,72,43,18,11.8,8,29.2,29.1,29,0
24,86,77.4,72,69,68,67,87,73.4,55,16,10.9,6,29.1,29,28.9,0
25,83,74.8,66,70,66.5,50,94,76.7,55,21,9.8,5,29.1,29,28.9,0
