Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Mar,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,88,75.9,71,69,67.5,66,91,76.3,49,14,8.4,3,29,28.9,28.8,0
2,83,71,56,69,62,24,91,75.1,26,33,14.2,5,28.9,28.8,28.5,0
3,77,63.7,50,41,29.4,17,57,29.1,18,33,11.6,5,29,28.9,28.8,0.16
4,80,63.9,46,48,42.2,39,77,49.3,23,16,7.4,0,29.2,29.1,29,0
5,80,64.7,49,59,53.1,46,90,68.8,38,15,6.9,0,29.2,29.2,29.1,0
6,82,70,63,66,62.5,59,96,78.8,49,13,6.2,0,29.2,29.1,29.1,0
7,80,71.3,64,69,66.1,63,100,84.7,64,21,6.7,0,29.1,29.1,29.1,0
8,84,72.8,67,66,63.4,57,93,74.5,42,17,10.8,3,29.2,29.1,29.1,0
9,85,74.4,68,66,63.6,58,90,71.1,41,14,9.9,5,29.2,29.1,29.1,0
10,78,67.2,59,64,57.8,53,87,72.8,50,15,7.1,0,29.3,29.2,29.1,0
11,90,75.8,64,66,63.5,60,90,68.5,38,16,10.9,3,29.1,28.9,28.8,0
12,72,70.5,69,65,65,65,87,82.5,78,5,2.5,0,28.9,28.9,28.9,0
13,69,60.8,54,41,36.1,32,57,41.1,25,16,10.7,6,29.3,29.2,29.2,0
14,69,59.5,49,44,38.8,35,61,47.1,37,15,9.2,5,29.4,29.3,29.3,0
15,72,63.9,55,57,49.3,38,73,59.2,48,22,13.3,7,29.4,29.3,29.1,0
16,83,71.1,65,68,63.6,52,97,78.9,49,29,11.4,0,29.1,29,28.9,0
17,60,51.3,43,50,31.4,21,83,50.9,23,22,14.5,6,29.3,29.2,29.1,0.38
18,50,45.1,40,38,35.9,30,86,70.8,46,16,6.6,0,29.6,29.5,29.3,0.27
19,58,49.7,43,38,34.2,30,80,57.8,35,13,7,3,29.7,29.6,29.5,0.08
20,55,51,45,52,41,34,96,69.8,52,18,9.1,0,29.5,29.4,29.2,0
21,72,63.1,53,66,61.5,52,100,94.7,81,14,8.8,0,29.2,29.1,29.1,0.04
22,79,71.7,68,67,66.2,65,96,83.3,62,17,11.1,6,29.2,29.1,29.1,0.19
23,83,74.9,70,68,66.9,66,87,76.7,60,25,15.4,10,29.1,29.1,28.9,0
24,89,74.7,59,68,54.5,28,93,60.2,12,21,10,0,29,28.9,28.8,0
25,83,68.3,50,38,32.1,25,57,28.6,14,14,6.7,0,29.1,29,28.9,0.07
26,84,66.7,52,65,53.2,40,87,63,41,9,3.8,0,29,29,28.9,0
27,80,72.2,65,67,60.9,49,90,68.9,50,13,8.1,0,29.2,29.1,29,0
28,73,65.4,56,59,40.6,28,61,42.6,21,24,14,6,29.4,29.3,29.2,0
29,65,61.4,55,53,44.6,35,65,54.3,39,10,6.7,0,29.3,29.3,29.2,0.01
30,78,68.1,61,69,63.5,53,100,85.7,67,20,10.6,0,29.2,29.1,29,0.02
31,86,74.3,68,68,66,63,93,76.9,48,15,8.7,0,29.2,29.1,29,0.09
